motif_id,title,description
k127,Brothers transform into swans,"A girl has many (more than three) brothers, they turn into birds or animals (rare: into plants; killed by magic), ultimately become human again"
k127a,Temporarily mute heroine,"A girl or young woman is bewitched to be mute or must keep silence for a period of time. Just when she has to be put to death, the period of her muteness is over and she is saved"
k128,Grazing animals to be preserved by a herdsman,"A man had to graze animals or birds. If at least one is lost, the master would kill (not reward) him"
k128a,Best apples for the princess,"A princess is promised to a man who would bring her the best apples (figs, fish; fruits that would cure her; that she would be unable to eat all, etc.). On the way two brothers do not give anything to a person who looks like a beggar but has supernatural power and their presents are rejected. The youngest one is generous and (after additional tests) marries the princess"
k129,The disenchanted beauty,"Because of the female antagonist, a girl faints and is taken for dead but her body is not decomposed. A valuable marriage partner breaks the charms, she revives"
k129a,Half alive lady in the burial chamber,A young woman (in the burial chamber) is now alive and now dead but after all she is disenchanted
k12a,A strained bow,"An unrecognized hero comes to a place where his bride or wife has to marry another man or is tuned into a slave. Despite expectations, he gets to strain a tight bow killing his rivals"
k130,Am I the most beautiful?,A woman asks if she is the most beautiful among female folk and always receives a positive answer. She tries to get rid of her rival when the answer becomes a negative one
k130a,Girl in the house of several brothers,"A group of brothers live apart. A girl comes to them or is born magically. The brothers recognize her as their sister. After some time she is separated from them and is in danger (abducted, killed though her body remains intact, should be executed, etc.) but is rescued"
k131,Men fight over magic objects,"A man on a journey meets tree or two persons who are quarreling over the division of magic objects (a flying carpet, seven mile boots, etc.). The man promises to render a judgment, but he asks first to try our the objects or suggests the owners to run a race and uses opportunity to escape with the objects"
k131a,Hero settles argument of animals,"Several animals (often a lion, an eagle, an ant) argue because of an animal carcass or a living place. A man settles their argument, they give him capacity to acquire their form (their qualities)"
k131b,Magic objects are exchanged and returned,"A man loses a magic object that he got before but gets it back thanks to another object (a cudgel, a box with soldiers, etc.) that is exchanged for the first one or obtained by the man’s brother. The episode can be repeated several times"
k132,Invincible chicken,Person of a small size (often a chicken) overcomes powerful adversary despite all attempts to destroy him thanks to objects and animals met on the way and preserved in his bag or inside his body
k132a,Husband's cock and wife's hen,"Husband sends his cock to earn money and the cock brings it. Wife sends her hen (cat, her half of a cock, etc.) and it brings filth"
k133,Foam-flecked horse,Every morning a horse is exhausted because animals or demonic creatures ride it at night
k134,The planted treasure,"To accuse a guest of theft, a host plants a treasure into his guest’s bag"
k135,Seven with one stroke,A weak and timid man or boy overcomes accidentally powerful enemies and gets high esteem
k136,A lad and his cattle,A lad becomes a master and a leader of great amount of cattle (cows or buffaloes) and meets a princess (usually after she finds his hair fallen into a river)
k136a,Hair picked up from the river,Person finds a hair that was carried by water and decides to marry its owner
k136b,Rubies from a river,Person finds precious stones or miraculous flowers (usually in a river) and gets to know whence they originate
k136c,Killed and revived periodically,Every time when a demonic person goes away he kills or puts asleep a woman reviving her when he comes back
k137,Sister tricks women to come and revive her brother,"When her brother is killed, a girl puts on his clothes and in a guise of a man wins competitions and gets women who are able to revive the dead. She puts the clothes back on her brother and the women come and revive him taking him for their husband. Or a sister is killed and her brother after winning wives tricks them to revive her"
k138,Exchange of bodies (king and his minister),Person gets an ability to enter a dead body and revive it. His own body remains dead for this time. Another person takes it for himself while the first one remains in an animal’s body
k139,Pheasant gets burnt,"Roasting meat or baking bread for his master, servant sees a girl and is so impressed with her beauty, that the meat or bread get burnt. The master decides to marry the girl"
k13a,Person with cut off leg ascends to the sky,"Certain person's leg or (rare) both legs are cut, torn, or bitten off. He ascends to the sky, usually becomes a constellation or a luminary or gets to the luminary"
k13b,Leg bitten off by caiman,"A caiman ferries a man across water body, bites his leg off. The maimed man is transformed into a constellation or into an animal"
k13c,Ogress’ daughter avenges death of her mother,"A man marries an ogress' daughter, kills her mother. The wife revenges on him, gets to cut off his leg"
k13d,Leg hangs in the sky,A group of boys gets to the sky. The leg of the last one is cut or torn off
k14,Precious advices,A man gives his last money for simple advices. Each of them saves his life or helps to achieve success or he does not follow the advices and gets into trouble
k140,Ostentatiously ungrateful,"Travelling with his sibling, a youth regularly kills those who help him and save him creating for himself ever more problems"
k141,Three injurious fairies,Supernatural women make harm to people. Hero overcomes them and usually marries them
k142,Corpse buried many times,Person kills several people. asks somebody to bury only one and then tells that the dead man has returned. The grave-digger buries several people but believes that it was one and the same corpse
k143,Hero is a fowler,Protagonist of the story is a bird-catcher (bird-hunter) or a son of a bird-catcher (bird-hunter)
k144,The predestined death because of an animal,"A certain animal or (rare) man is predicted to become a cause of death of a certain person. When this animal (man) is already dead himself or itself or is faraway, its (his) remains or image becomes the cause of the person’s death"
k145,The predestined death because of the wolf,"A wolf is predicted to become a cause of death of a person or the person must die at his wedding day. The prophesy becomes true. If it is about the marriage, the bride herself turns into a wolf and kills her bridegroom"
k146,Life-medicine brought by the hero is used to revive him,The hero is sent to bring a life-medicine. On his way back a friendly woman replaces the real medicine with a useless one or keeps part of it for herself. Using the medicine she revives the hero when he is treacherously killed
k147,Hero's horse brings his remains and he is revived,Enemy cuts hero’s body into pieces and ties them to his horse or the horse itself picks them up and brings to his master’s friends. They revive him.
k147a,The transformed hero kills his rival,"Hero’s rival together with the hero’s untrue wife or another woman tries to kill him when he turns into different creatures of objects. When the hero turns into a duck (fish, bird), the rival puts the magic weapon on the ground and rushes to catch the duck (bird, its.). The hero acquires his normal guise, takes the weapon and kills his rival"
k148,The stolen colts,Every night or every year a mare gives birth to a colt but every time it is stolen
k149,The three knots,"Person receives a rope, reins or the like with three knots. If untied, person can move more or less rapidly. Usually untying the first two knots he makes his ship or his horse move more rapidly but, besides warning, he (being near to his destination) unties the third knot too and because of it he looses his ship or his horse, does not reach his destination, etc."
k14a,Thrown into the oven himself,"An antagonist orders to kill the first one who will come in the morning to a certain place. The hero becomes late by chance, the antagonist or his wife or son come and are thrown into the fire"
k14b,A charge of stealing the knife,"A man receives good advice never to act before he is insistently asked to do it. When he decides to be helpful and gives his knife (rare: other weapon) without being insistently asked for it, he is accused of a crime"
k14c,Man mistakes his son for his wife’s lover,"Coming home after a long absence, a man understands that there is another man in his house but keeps patience and discovers that it is his own son or a close kin of his wife"
k14d,The make believe crime,"To test his wife (friend, member of his household), a man pretends to commit a crime (to kill somebody or to steal something). When his wife (friend) betrays him, he presents evidence that proves his innocence"
k14e,The pretended inheritance,"Sons of a man neglect their father (daughters-in-law neglect their father-in-law). He pretends to be hiding something (counts money conspicuously, etc.). The sons believe that their father has considerable inheritance and become to look after him carefully. When the father finally dies they find nothing valuable in his chest"
k15,Embraced nobody bsides this beggar,A woman swears that she never embraced anybody besides (her husband and) the beggar who is among the people. The people do not know that her lover assumed the beggar’s image
k150,Horse eats coals,"Magic horse eats (hot) coals, nails, etc. or they try to feed the horse with such a staff"
k151,The fisherman and his wife,Supernatural creature fulfills a poor man’s moderate request. After this he or his wife asks for ever bigger gifts till the angry helper punishes them (usually takes all his gifts away)
k152,The evil woman thrown into the well,"A man throws his evil wife into the pit or well. After some time he drags a devil (snake, etc.) out of it who thanks the man for being saved from the woman (asks the man to save him). Usually the devil helps the man and after all the man scares the devil telling him that the woman climbed out of the pit and is coming"
k153,"Grateful animals, ungrateful man","Человек оказывает услугу нескольким (потенциально опасным) животным и другому человеку. Благодарные животные помогают ему, а человек предает и вредит"
k154,A skull with an inscription,"Certain man finds human skull. It is written on it that the skull will be the cause of death of seven (forty, etc.) men. Or the skull foretells something related to its own future. The skull is burned to ashes but a girl licks it and becomes pregnant. Usually she gives birth to a son who becomes the cause of death of the corresponding number of men"
k154a,Men in the harem,"Solving a riddle, a boy or youth unmasks a daughter (wife, minister) of a powerful person: house-maids (or some of them) are men, the minister plans to kill his master)"
k155,Bone in the meat (prince grown in isolation),"A man (usually a king) isolates his son or daughter in a closed room, servants bring the boy (girl) meat without bones. Once he or she finds a bone in the meat, uses it to make an opening in the wall and gets to see the world outside"
k156,Will flowers wither undeer the pillow?,"A girl conceals her real identity and pretends to be a young man. To identify real sex of the person, flowers are put under his/her pillow or the mattress. If it is a man, the flowers should remain fresh and if a girl, wither"
k157,Robbers killed one by one,"Person comes to robbers (giants) and pretends that he agrees to help them to rob a treasury (to abduct the princess, etc.). After penetrating into the castle, he invites the robbers to enter through a narrow opening (climb over the wall, etc.) and kills them one by one"
k157a,Vanished husband learned of by keeping inn,"For finding the lost husband (wife, savior), person sets up an inn (bakery, bathhouse) where guests are served gratis. This attracts people. One of the guests proves to be the lost one or the guest tells a story that helps to find the lost one"
k158,Who is the woman on a portrait?,"To find the lost husband (and other men who were helpful or cruel to her), a woman demonstrates her portrait in a public place and calls to her everybody whose reaction shows that they recognized who was represented"
k159,Peas poured under the feet,"When two persons are fighting, somebody wants one of them fall and throws or pours something under his feet"
k15a,Substituted weapon,Hero substitutes powerful person's weapon or amulet with a fake
k15b,Substituted barrel of water,"Because containers with alive and dead water (one makes one stronger, another weaker) are imperceptibly exchanged, during the battle the hero drinks the alive water and overcomes his enemy who drinks the dead water"
k15c,Substituted clothes,The owner of the stone (ice) clothes kills people. The hero hides these clothes or substitutes them with a fake and kills the owner
k16,Girl’s pet turns into a young man,"Disguised as a bird, small animal or insect, the hero lets himself be caught by a girl to have sex with her or to steal valuables possessed by her family or he lets himself be caught by the girl's father to receive opportunity to get to his daughter"
k160,Three hairs from the devil’s beard,"Hero must bring hairs, feathers, scales, etc. of a dangerous person. He fulfills his task and returns home. Usually a wife or (grand)mother of this person gets the three hairs when she delouses him or when he is asleep and puts questions which the person answers and the hero listens in. {The motif of a woman who puts questions is also in traditions that lack the motif of the “three hairs”; ATU 461 tale type is a combination of episodes that have different areal spread}"
k161,The liberated dragon,"Person imprisoned a dragon (demon, Thunder, etc.) and warns the other not to open a certain room (not to give water to the prisoner, etc.). The instruction is broken and the demon liberates himself that has undesirable consequences"
k162,The robber gets into the sleeping room,"The antagonist (robber, wizard) penetrates into the house of a girl or young woman hiding in a state (in cupboard, etc.) and/or putting her husband (guards) to sleep using a medicine. At the last moment he is killed"
k163,Aladdin and his lamp,A magician orders a boy to fetch a magic object (often a lamp). The boy finds the object (but refuses to give it to the magician). A helpful genie appears and fulfills the boy’s wishes
k164,"Dog is a friend, wife is an enemy",A man’s wife betrays him but his dog is true
k165,The youth who wanted to learn what fear is,A youth who does not know what fear is tries various frightful experiences without becoming afraid. Finally he is frightened by something that is totally harmless
k16a,Slips and drops dummy,"Being eager to show that he is a successful hunter, a man walks in front of a girl carrying a game (deer, birds). The girl makes him slip, he drops the false game that proves to be a dummy stuffed with ashes or a termite nest"
k17,Ornitomorphic suitor,Ornithomorphic hero impregnates a girl magically or imperceptibly for her
k18,Infant picks out his unknown father,A boy is born whose father or (rare) mother is unknown. He himself points at his parent who as a rule occupies a low social position. Usually many men (women) come together and everyone hopes that the boy points at him (her)
k18a,Infant takes father’s bow and arrows,"When a small boy has to recognize his father among many men, he comes to him and takes father's bow and arrows"
k18b,Baby boy does not cry anymore,"A baby boy has to recognize his father or mother among many people. When his parent takes him, the boy ceases crying"
k18c,Urinates at his father’s arms,"A baby boy has to recognize his father among many men. When his father takes him, the boy urinates at his arms"
k18d,A lazy boy and a fish,"A lazy (stupid) boy releases a fish (frog, serpent, supernatural being) which gives him a power of making all his wishes come true; he marries a princess"
k19a,Star-wife,A man maries a star-woman
k19b,Star-husband,A woman maries a star-man
k19c,Wife hidden in a bag,"A youth brings how a being which at night or after some time turns into a girl and to whom he makes love. During the day time the youth hides his sexual companion in a bag, gourd-vessel, and the like in which he had carried her"
k19d,Star’s husband suffers from cold,"When a man who has married a star gets to the sky, he suffers severe cold and dies either of cold or after touching a forbidden fire"
k19e,Wolverine under a tree,"When a woman or two sisters descend from sky back to earth, they get to the top of a tree. Some animals who walk by cannot help them or do not want to help. Wolverine gets women down because he plans to marry them but they escape from him"
k19f,Stars help to work,Star person or persons descend to earth to work at the garden plot
k19g,Two stars of different color and brightness,"Two stars are men, an old and a young ones. They look different as about their color or brightness but these characteristics do not correlate (the bright star can prove to be an old man and vice versa. Usually two girls wish these stars for husbands and express different preferences (one prefers bright blue star, another wants small and red one, etc.)"
k1c,One who comes to look at adversary’s bones dies himself,"A man is marooned on an islet, a rock but survives thanks to helpful birds and animals. The next time the hero and the antagonist exchange roles. Usually the antagonist comes to the islet to see the bones of the abandoned man but the man takes the canoe of the antagonist and paddles away. The antagonist dies"
k1d,Woman’s brothers maroon her husband,Brothers of a man's wife hate him and maroon on an islet
k1e,Marooned on an islet,Person is marooned on an islet or on another side of a sea or wide river
k1f,Conflict because of a woman,A man maroons another because of jealousy or because he plans to take hold of his wife
k1g,Antagonist charged by stag,Hero turns into stag or creates a stag to charge his kinsman who sent hi into a trap
k1h,Imprisoned in the tree-hollow,Person is imprisoned in a tree-hollow or inside a rock and is released by somebody who makes a hole from outside
k1i,Tree to descend from a rock,A tree or vine quickly grows up near the rock or in the bottom of a pit where the hero was marooned. He gets to the ground climbing down (or up) this tree (vine)
k1j,A marooned man returns home before his adversary,"A man marooned on an islet or rock in the sea turns into a bird and flies home. When the man who marooned him comes home, the hero is already there"
k2,The destroyed ladder,"Hero climbs up (e.g. to a tree) or down (e.g. into a deep cave) by ladder, rope, from branch to branch, etc. The rope etc. breaks or is intentionally destroyed and the hero cannot return to the ground. (all cases of motif K2A are also computed together with K2)"
k20,Wish for star-husband or wife realized,"A human person admires a star or (rare) the Moon in the sky, expresses desire to marry it or (rare) to get a star-object. Star descends to him or to her or takes him or her to the sky"
k21,Woman descends from the sky by rope,"A sky-dweller marries a woman. Being eager to return to the earth, she secretly climbs down to earth by a rope"
k22,Dwarfs and cranes,Different from (common) people inhabitants of a distant land fight with non-human enemies who periodically attack them
k22a,Dwarfs attacked,Birds or other creatures which not dangerous for common people attack dwarfs who live in another world
k22aa,"Humans in the south, birds in the north",A man gets to the country inhabited by migratory birds. They have there human guise but turn into birds going back to the north
k22b,Man helps inhabitants of other world,Inhabitants of a distant land who have different nature than (normal) human beings struggle from time to time with some non-human enemies. Man helps local dwellers because their enemies are not dangerous for the human beings
k22c,Birds attacked,Inhabitants of a distant country suffer from periodic assaults of the enemies which are not dangerous for common people. These enemies (and sometimes the inhabitants of the country too) are birds
k23,Battle with birds,Birds attack the inhabitants of a distant land or a man who had got to this land
k23a,Feathers are the birds’ weapon,Birds use their feathers as arrows or their arrows and down stick mouth openings of them enemies
k24,Stolen clothes of supernatural woman,"Women who possess supernatural power and usually come from a non-human world (from sky, from under the water, they are winged beings, bird- or animal-persons) take off their clothes (feather skins and the like) or part of it. After the man hides clothes, their owner has to marry him or help him"
k24a,Supernatural male hides clothes of human girl,"Supernatural male person (often a snake, a dragon) hides clothes of a human girl or sits on it. To return her clothes she had to become his wife"
k24b,To dance in her magic clothes,"Magic wife gets her wings back and flies away after she pretends that putting her real clothes she would be more beautiful, a better dancer, etc."
k25,Woman from sky-world marries mortal man,"A man gets a woman connected with the upper world (bird-maiden, sky fairy, star-woman, etc.), she becomes his wife or (rare) adopted daughter"
k25a1,Magic wife finds her clothes,"Magic wife abandons her mortal husband when she finds her clothes (often, her feathers if she is a bird-woman), makes herself the new clothes, receives them from her kin or her husband gives her her clothing believing that she will not abandon him. (Versions with magic wife abandoning her husband because she feels herself offended is not alternative to the “found clothes but in most of the texts these motifs are not combined)"
k25a2,Thrown down feathers,Magic wife flies away or makes attempt to fly away when her bird relatives throw down her feathers (wings)
k25a3,The picked up feathers,Magic bird-wife flies away after she had picked up many feathers and made of them her new bird-clothes
k25a4,Escape from the mermaid,"A man (rare: woman) gets into power of a demonic person related to the lower world (usually siren, fish, sea monster, rarely wizard). The marriage partner who remained on earth bribes the demon with gifts (begs, provokes her or him) to persuade him to raise the person above the water (the ground). As soon as this is achieved, the hero escapes (usually flies away turning into the bird)"
k25a5,Two brothers and the swan-maidens,"The elder brother is a hunter, the younger brother (rare: sister) stays at home. When the elder gets to know that the bird-maidens visit the younger, he instructs him what he should do to catch one of the girls. The elder brother marries her but she finds her feathered clothes and flies away (in many versions the younger brother is a simpleton and tells his sister-in-law where her clothes are hidden). The elder brother goes away in search of his lost wife"
k25b,Woman pursues a porcupine and gets to the sky,"Pursuing a porcupine, woman climbs a tree and gets to the upper world"
k25c,Baby under a tussock,"Digging roots or gathering sea food on a beach, a woman finds baby-boy. Usually her mother warns her not to dig a certain bulb or not to do it in a certain way. Breaking taboo, the woman finds or conceives baby-boy"
k25d,Prohibited bulb in the sky,"Person gets to the sky, makes hole through the firmament digging out a root. Usually woman's husband or his kinsmen warn her against digging out a special bulb or tuber; breaking taboo, she gets to see the earth, decides to descend"
k26,A hole in the firmament,"Finding a hole in the ground or making it, person gets to see below another world. Usually the earth is seen from the sky"
k26a,Sky opening covered with a stone,"Opening in the firmament is covered with a flat stone. When person puts the stone aside, he or she gets to see the earth"
k27a,Ordeal: survive cold,"An ordeal: to survive cold (frosty night outdoors, chamber with ice, cold water and snow)"
k27b,Ordeal: to smoke a pipe,An ordeal: to smoke a huge or poisonous pipe or to remain alive in poisonous smoke
k27c,Ordeal: knives and thorns,An ordeal: to remain alive after contact with sharp points or blades
k27d,Ordeal: chamber with dangerous beings,"An ordeal: to remain alive in a closed room full of beasts of prey, poisonous or other dangerous creatures"
k27e,Eating or drinking contest,Person or animal must eat (drink) enormous quantity of food (beverage) or eat or drink poisonous beverage or food
k27f,A task: to get a woman,A task-giver asks the hero to get a woman
k27f1,To build a bridge,Person builds a bridge (usually of gold etc.) during a very short time
k27g,Ordeal: to bathe in a boiling liquid,Person is ordered to bathe in a (boiling) milk or other hot liquid or to jump into fire. He remains unharmed but his adversary usually dies
k27g1,Cleaning of the stable,Person must quickly clean a stable or cattle-shed from dung accumulated there for a long time
k27h,Task: to carve a bench,A task: to carve a bench decorated with representa­tion of the head of the father(or mother)-in-law that is always concealed
k27hh,To sort grain,A task: to sort a large amount or small particles of different kind (usually seeds of different plants) mixed in container or to count such particles or to pick up the spilled grains
k27i,Task: to dry a body of water,A task: to dry a body of water
k27k,Diving contest,A contest: to dive deep or for a long time
k27l,Task: to get object from bottom of body of water,A task: to get an object from the bottom of a water body
k27l1,To be frowen in ice,Person agrees to test his strength being frozen in ice but fails to break it and get free
k27ll,Water covered with ice,"When hero dives, the antagonist covers the water surface with ice or net"
k27m,To get an animal of unusual color,The hero must kill and bring an animal of special (often unusual) color or form
k27n,Tasks of the in-laws,Father or other kinsmen of hero's wife or bride try to kill or test him and/or suggest him difficult tasks
k27n1,Task-giver is a king or a chief,"Person who gives difficult tasks to the hero is a prominent figure in social hierarchy, i.e. a head of political unit of community- or higher level and not a mythical being"
k27n3a,"Task-giver is the Sun, Moon or Thunder","Person who gives difficult tasks to the hero is associated with the Sun, Moon, or Thunder"
k27n3b,"Task-giver lives in the sky but is not the Sun, Moon or Thunder","Person who gives difficult tasks to the hero lives in the sky but is not associated with the Sun, Moon or Thunder"
k27n3c,Task-giver is an animal or a fish,Person who gives difficult tasks to the hero is associated with a terrestrial or aquatic animal or with a fish
k27nn,Envious minister,Not the powerful person himself but his official or adviser tries to get rid of the hero and suggests that the person should give the hero difficult tasks
k27o,Ball game,A contest: ball game
k27p,Antagonist mourns loss of his helpers,"The antagonist sends the hero to the place where he is attacked by dangerous creatures. The hero kills them and brings to the antagonist. The creatures are the antagonist's relatives, pets, or helpers, therefore he or she mourns their death or revives them"
k27p1,Antagonist in animal guise,The antagonist asks the hero to kill or to tame a dangerous animal or not to kill certain animal during a hunt. This animal is the antagonist himself (or his daughter or wife)
k27q,Milk of the wild beast,Hero is sent to bring milk of a wild animal or milk in possession of a dangerous creature or person
k27q1,To bring musical instrument,"Hero is sent to get musical instrument, usually a (self-playing) psaltery"
k27r,To visit the world of the dead,A task: to bring object or news from the land of the dead
k27r1,The dancing apples,"A task: to bring objects (usually fruits) that act like people, i.e. dance, sing and the like"
k27s,Contest: a race,Contest: a race
k27ss,To win a race with an (old) woman,A strong man has to race with a woman (often with an old woman). He cannot surpass her or does it with much difficulty
k27t,Climbing contest,A contest: to climb a pole or tree
k27u,Hide-and-seek,Hero and his adversary play hide-and-seek. The hero finds his adversary but the adversary cannot find him
k27u1,One day from conception to birth,A demand is brought up that a baby would be born the next day after conception or would talk immediately after the birth
k27u2,News from the tumbleweed,Powerful person asks the hero to get know where the tumbleweed goes or what are its news
k27v,To hit a bird with an arrow (stone),Person must kill a bird with an arrow or a stone
k27v1,To hit a needle,Person must hit a needle with an arrow (to shoot an arrow though the eye of a needle)
k27v2,To hit an object of copper,Person must hit the copper object or the creature whose body consists of copper
k27v3,To shoot an arrow though the ring,Person must shoot an arrow through a small ring or several rings
k27w,Monster brought by the hero kills the task-giver,"Task-giver asks to bring him dangerous being or object possessed by a moster or deity. Hero fulfills the task. The beast, monster, deity or the object itself kills the task-giver"
k27x,Former husband of magic wife,"A man marries a non-human woman. In her world, she has another husband or suitor. She returns to her world, human husband follows her. He stands tests and/or fights with local inhabitants, gets his wife back"
k27x1,Invisible servant (“Bring don’t know what”),Hero receives a difficult task (usually to bring an object or creature that have no particular indications and properties) and comes across an invisible person who is a powerful and well-disposed servant to anybody who becomes his master. The hero is kind with him and the person helps him
k27x2,To steal an egg from under the bird,"Person is able to steal an egg (a nestling, to put it back) from under the bird (to change the bird’s feather; to steal an embryo from animal’s womb, etc.)"
k27x3,The man persecuted because of his beautiful bride,A powerful person coverts a beautiful bride or wife of a man and gives him impossible tasks to get rid of him
k27x4,Climb a tree with a full glass in hand,"Person must climb a tree (pole, rock) with a full open vessel in hand and not a drop should be spilled"
k27y,To get material for making bow and arrows,"Hero is sent or sets off by his own will to get two or more different materials needed for making bow and arrows (wood or reed for shafts, feathers, tendons for string, flint for points, paint to paint the shafts, gum to stick points to the shafts)"
k27y1,Arrow points made of coal,"Person believes or pretends that the arrow points should be of coal, bark, grass and the like."
k27yy,To bring something from a dangerous tree,"Hero is sent to a dangerous tree or rock to bring feathers, nestling, fruits, bark, etc.though the place is dangerous"
k27z,Game of chance for life and death,"Confrontation between the hero and his antagonist has a form of a game (of chance, chess, draughts but not a sport tournament)"
k27z1,"Bird, horse and princess","Helpful animal instructs the hero how to steal an object he needs to get but not to take anything else (bird, but not cage, horse but not bridle, etc.) The hero breaks prohibition, is caught but released on condition that he brings another wonderful object. Situation is repeated and the last task is to bring a girl. Ultimately the hero gets both the girl and all the objects"
k27z2,Princess separated from her son averted incest with him,A noble young woman or girl who had to abandon her home gives birth to a son and is separated from him. The youth becomes adult and is going to marry a woman. At the last moment he understands that she is his mother. The woman gets back her high social position
k27z2a,A man and a girl made to meet for a night,Supernatural beings carry a man to a girl or vice versa or carry the man who was far away to his wife. They spend a night together and then separated again and find each other. After troubles and sufferings
k27z2a1,Unrecognized wife visits her husband,"A man marries a woman but abandons her without consummating his marriage. She visits him in disguise and ultimately he gets to know who was his beautiful companion. Usually the wife gives birth to his son (three sons) and upon seeing the boy, the man realizes that it is his own child"
k27z2b,The killed doll,"Complicated relations between a poor girl and a prince lead to his attempt to kill his bride in the nuptial night. The girl puts a doll in her bed, the prince pierces it with a sword and takes the sweet juice (honey, sugar) with which the doll was filled for the blood. He repents his deed but the real girl appears and the couple is happy"
k27z2c,Prince marries a girl to lock her up,A prince marries a poor girl only to lock her up in her room. She outwits him
k27z2d,An argument between female sparrow and her husband,"A male bird (sparrow, dove, etc.) abandoned his wife but later claims nestlings to be his. Or the male bird abandons (kills) nestlings when his mate has died and he married again. This episode begins a story about the king, his wives and children"
k27z2e,The stolen jewelry and the final uniting,"During the first meeting(s) between the prince and the princess one of them (sometimes adopting an unusual guise) takes objects (decorations) in possession of another. Either the girl of the boy falls ill. Thanks to the new meeting the sick ones become healthy again, the disappeared objects are recognized and the couple married"
k27z3,Cat with a lamp,"A man trains a cat (monkey, dog) to hold lighted candle (lamp) on its head or to extinguish the light by a signal. When a mouse (a rat) runs through the room, the cat drops the candle (forgets about the lamp) and chases the mouse"
k27z4,The trained animal of the gambler,"Person always wins a game thanks to a cat (or a mouse) who carries the lamp (or puts the light out in a certain moment). The hero releases a mouse (or correspondingly a cat), the cat runs after it and the person loses the game"
k27z4a,A cripple claims his leg back,A cripple tells that his visitor’s father borrowed and did not return his leg. The visitor’s wife (or he himself after receiving a good advice) asks the other leg (eye) for comparison because there are many legs (eyes) in his father’s box
k27z4b,Wife disguised as a man saves her husband,"A man goes away, comes across a deceiver and loses freedom and property. His wife comes unrecognized in the man’s guise, punishes the deceiver and saves her husband"
k27z5,An agreement to marry the would be born children,Two men agree to marry their future children if a girl and a boy will be born. The girl’s parents evade the given obligation. The boy grows up and finds his bride
k27z6,The stone of pity,"Being a victim of the injustice and after much suffering, a young woman speaks with a certain inanimate objects (often it is “the stone of pity”) telling it her sad story or her husband does it. The woman is rescued and the justice reinstated"
k27z7,To get know what is the rose of the heart,A person promises to fulfill somebody’s request if another gets to know why certain man or woman acts regularly in a strange way
k27z8,Insolvable riddles,"The riddle refers to extraordinary or accidental events that happened to the person setting the riddle, and thus is unsolvable to outsiders"
k27z9,Why the fish laughed,"A (dried) fish (water-spirit, satyr, etc.) laughs, smiles or spits because a man disguised as a woman lives in the house"
k27zz,The outcast queens and the ogress queen,"A married man marries another woman who is a transformed ogress/witch. Thanks to her intrigues other wives (the first wife) are blinded and/or confined in an underground hole. A son of one of them overcomes the ogress, returns sight to his mother and her sisters"
k27zz1,Only the youngest queen's child survives,Several imprisoned co-wives give birth but only the son of the youngest woman survives. The boy saves the women
k27zz2,"All queens are blind, one is half-blind",Several young women who are co-wives or sisters loose both eyes but the youngest only one eye
k27zz3,The wife who should not be beaten,A prince (merchant’s son) beats his wife each day (says he will marry only a woman who will submit to a beating each day). When he is married his wife saves him demonstrating her superiority
k28,Father or uncle is rival and enemy,Maternal uncle or father (or grandfather if he replaces father who is not mentioned) of the young man is his rival or enemy and tries to kill him
k29a,Survives in a fire,"Hero demonstrates his supernatural abilities remaining alive in a burning hot chamber, stove, bonfire, among burning vegetation"
k29b,Posthole murder,"Hero is asked to climb into a hole or pit. When he does it, they fill it with soil or throw down a post, a stone, etc. The hero demonstrates his magic capacities coming back uninjured"
k29c,Brings tree that was fallen on him,"To kill a strong man, others fell a tree and hope that the man will be crashed when it falls on him, or they tie him to a tree. The man remains unharmed and brings the tree home"
k29d,The drunk elephants,"When water in a spring is replaced with alcohol, honey, etc., an animal or bird becomes drunk (sticks to it) and is caught"
k2a,Hero marooned in the underworld,"A person descends by a rope into the lower world through a well, precipice, etc. His companions cut the rope and the person remains below. Usually he saves a girl or girls, gets treasure etc. and sends them up and companions leave him in the underworld with the purpose to take themselves possession of these valuables"
k3,Tree or rock grows taller,"Hero climbs up a tree or rock to get eggs, nestlings, fruits, honey, etc. Another person makes the tree (rock) grow higher or thicker and the hero is unable to descend back"
k30,Flying enemy abducts woman,Flying person or creature abducts a woman but is ultimately killed or the woman escapes from him
k30a,The chief’s wife and vultures,Wife of a chief abandons him with vultures (usually by her own will being untrue to her husband). The chief (Witoto: her own brother) brings her back
k31,Wooden seal,"Person makes a sea mammal or fish of wood, it carries another person or persons into the open sea or kills him or them"
k32,The false wife,"An ugly, old, lazy, etc. woman or a male trickster comes to man under disguise of his wife, bride or (more rare) sister who is driven out, confined to the underworld, killed, etc."
k32a,Travelling man leaves his wife or daughter for a short time,A man travels with his wife or daughter. Another woman or a demonic person replaces her when the man goes away for a short time
k32b,Mother-in-law substitutes her daughter,A man's mother takes the form of his wife to take her place
k32b1,Mother substitutes her daughter,Mother-in-law of a man takes the appearance of her daughter to replace her
k32c,True wife turns into owl,"When the imposter takes place of the real wife, the latter turns into owl"
k32d,"Sister sent to feed geese, servant taken for the sister","A girl (rare: boy) is walking to her or his relations or to her bridegroom. On the way the imposter lures her (him) to exchange clothes and takes her (his) place while the real girl (boy) is sent to look after crops or fee domestic fowl or animals. People hear her (his) song in which all the story is told. The deception is disclosed, the imposter killed"
